a 腌
a 嗄
a 啊
a 吖
a 呵
a 阿
a 锕
a 錒
ai 锿
ai 隘
ai 馤
ai 賹
ai 靄
ai 鎄
ai 薆
ai 鑀
ai 蔼
ai 躷
ai 阨
ai 餲
ai 醷
ai 鴱
ai 阸
ai 隑
ai 閡
ai 騃
ai 譪
ai 譺
ai 靉
ai 藹
ai 霭
ai 娭
ai 伌
ai 瑷
ai 礙
ai 愛
ai 哎
ai 暧
ai 皑
ai 毐
ai 碍
ai 娾
ai 嗌
ai 凒
ai 焥
ai 爱
ai 嵦
ai 捱
ai 埃
ai 濭
ai 乂
ai 矮
ai 磑
ai 敳
ai 敱
ai 溾
ai 噯
ai 僾
ai 曖
ai 癌
ai 塧
ai 叆
ai 溰
ai 哀
ai 唉
ai 壒
ai 硙
ai 堨
ai 嬡
ai 艾
ai 懓
ai 皧
ai 啀
ai 嘊
ai 欸
ai 砹
ai 硋
ai 嫒
ai 嗳
ai 挨
ai 皚
ai 呝
ai 懝
ai 瞹
ai 絠
ai 璦
ai 昹
an 厈
an 犴
an 垾
an 厂
an 庵
an 痷
an 按
an 桉
an 晻
an 案
an 垵
an 廣
an 唵
an 洝
an 啽
an 碪
an 暗
an 安
an 婩
an 儑
an 屽
an 俺
an 侒
an 盫
an 腤
an 广
an 盦
an 媕
an 峖
an 罯
an 咹
an 堓
an 岸
an 荌
an 胺
an 揞
an 氨
an 埯
an 蓭
an 銨
an 黯
an 闇
an 鞍
an 鞌
an 玵
an 貋
an 韽
an 鵪
an 鮟
an 頇
an 諳
an 豻
an 谙
an 铵
an 鹌
an 隌
an 雸
an 誝
an 馣
an 頞
an 裺
an 萻
an 鶕
an 菴
an 葊
an 錌
ang 醠
ang 醃
ang 骯
ang 盎
ang 枊
ang 昂
ang 岇
ang 卬
ang 肮
ao 磝
ao 嶴
ao 岰
ao 扷
ao 翶
ao 垇
ao 嫯
ao 囂
ao 嗸
ao 嗷
ao 璈
ao 奡
ao 柪
ao 擙
ao 聱
ao 媼
ao 慠
ao 翱
ao 抝
ao 熬
ao 傲
ao 梎
ao 芺
ao 墺
ao 翺
ao 坳
ao 熝
ao 廒
ao 獒
ao 嶅
ao 嚣
ao 敖
ao 媪
ao 懊
ao 澳
ao 爊
ao 凹
ao 摮
ao 岙
ao 厫
ao 獓
ao 奥
ao 滶
ao 嚻
ao 奧
ao 拗
ao 螯
ao 骜
ao 鴢
ao 袄
ao 謸
ao 鏖
ao 軪
ao 鷔
ao 镺
ao 襖
ao 鏊
ao 鳌
ao 蔜
ao 蝹
ao 鰲
ao 遨
ao 驁
ao 謷
ao 隞
ao 鼇
ba 鮁
ba 蚆
ba 鼥
ba 鲌
ba 霸
ba 鲃
ba 軷
ba 鲅
ba 跁
ba 鮊
ba 詙
ba 菝
ba 跋
ba 靶
ba 豝
ba 颰
ba 覇
ba 釛
ba 鈀
ba 钯
ba 魃
ba 釟
ba 弝
ba 垻
ba 罷
ba 坺
ba 炦
ba 欛
ba 癹
ba 耙
ba 峇
ba 胈
ba 墢
ba 叭
ba 朳
ba 柭
ba 拔
ba 紦
ba 叐
ba 灞
ba 玐
ba 粑
ba 岜
ba 捌
ba 仈
ba 妭
ba 芭
ba 爸
ba 坝
ba 八
ba 笆
ba 羓
ba 扒
ba 罢
ba 把
ba 壩
ba 丷
ba 矲
ba 巴
ba 吧
ba 夿
ba 茇
ba 犮
ba 疤
ba 哵
bai 拜
bai 拝
bai 粨
bai 柏
bai 擺
bai 粺
bai 唄
bai 伯
bai 掰
bai 竡
bai 稗
bai 捭
bai 猈
bai 摆
bai 呗
bai 栢
bai 百
bai 挀
bai 絔
bai 白
bai 佰
bai 敗
bai 败
bai 韛
bai 薭
bai 襬
bai 贁
ban 辦
ban 鳻
ban 蝂
ban 螌
ban 頒
ban 跘
ban 魬
ban 鉡
ban 褩
ban 闆
ban 鈑
ban 辬
ban 颁
ban 钣
ban 阪
ban 覂
ban 靽
ban 朌
ban 坢
ban 岅
ban 拌
ban 癍
ban 湴
ban 版
ban 扳
ban 斒
ban 瘢
ban 班
ban 粄
ban 姅
ban 斑
ban 瓪
ban 伴
ban 办
ban 板
ban 般
ban 搬
ban 怑
ban 絆
ban 绊
ban 埿
ban 舨
ban 坂
ban 柈
ban 瓣
ban 扮
ban 半
ban 秚
ban 籓
ban 肦
ban 攽
ban 昄
bang 徬
bang 梆
bang 埲
bang 牓
bang 搒
bang 幫
bang 垹
bang 幚
bang 磅
bang 膀
bang 稖
bang 玤
bang 綁
bang 硥
bang 棓
bang 濱
bang 绑
bang 崗
bang 艕
bang 幇
bang 塝
bang 棒
bang 傍
bang 帮
bang 縍
bang 浜
bang 捠
bang 紡
bang 挷
bang 榜
bang 邫
bang 蚄
bang 邦
bang 謗
bang 鞤
bang 鎊
bang 镑
bang 蜯
bang 蛖
bang 蚌
bang 蒡
bang 髈
bang 谤
bao 襃
bao 靌
bao 鉋
bao 虣
bao 趵
bao 豹
bao 鮑
bao 铇
bao 藵
bao 蚫
bao 雹
bao 賲
bao 龅
bao 闁
bao 袌
bao 蕔
bao 駂
bao 骲
bao 菢
bao 薄
bao 鑤
bao 髱
bao 靤
bao 裦
bao 褓
bao 鴇
bao 饱
bao 飹
bao 飽
bao 鸨
bao 褒
bao 葆
bao 鳵
bao 齙
bao 鲍
bao 剥
bao 勽
bao 曓
bao 枹
bao 曝
bao 報
bao 剝
bao 忁
bao 怉
bao 包
bao 刨
bao 炮
bao 瀑
bao 宀
bao 佨
bao 暴
bao 胞
bao 抱
bao 媬
bao 勹
